phase,epoch,step,elapsed_s,loss,mae,mse
train,0,100,6.6,0.665706,,
train,0,200,9.4,0.500659,,
train,0,300,12.3,0.337286,,
train,0,400,15.1,0.336736,,
train,0,500,17.9,0.279784,,
train,0,600,20.8,0.280881,,
train,0,700,23.6,0.275478,,
train,0,800,26.5,0.270407,,
train,0,900,29.3,0.283191,,
train,0,1000,32.1,0.261414,,
train,0,1100,35.0,0.246302,,
train,0,1200,37.8,0.251571,,
train,0,1300,40.6,0.247662,,
train,0,1400,43.5,0.237096,,
train,0,1500,46.3,0.239436,,
train,0,1600,49.1,0.226850,,
train,0,1700,52.0,0.215331,,
train,0,1800,54.8,0.202271,,
train,0,1900,57.6,0.207899,,
train,0,2000,60.5,0.203751,,
train,0,2100,63.3,0.203930,,
train,0,2200,66.1,0.212150,,
train,0,2300,69.0,0.193871,,
train,0,2400,71.8,0.204924,,
train,0,2500,74.6,0.197252,,
train,0,2600,77.5,0.194762,,
train,0,2700,80.3,0.192723,,
train,0,2800,83.1,0.188530,,
train,0,2900,86.0,0.184573,,
train,0,3000,88.8,0.179402,,
train,0,3100,91.6,0.177581,,
train,0,3200,94.5,0.175996,,
train,0,3300,97.3,0.193544,,
train,0,3400,100.1,0.176150,,
train,0,3500,103.0,0.176089,,
train,0,3600,105.8,0.166362,,
train,0,3700,108.7,0.167031,,
train,0,3800,111.5,0.169633,,
train,0,3900,114.3,0.159251,,
train,0,4000,117.2,0.165461,,
train,0,4100,120.0,0.157422,,
train,0,4200,122.8,0.159942,,
train,0,4300,125.7,0.149960,,
train,0,4400,128.5,0.145485,,
train,0,4500,131.3,0.171705,,
train,0,4600,134.2,0.155530,,
train,0,4700,137.0,0.158470,,
train,0,4800,139.8,0.149611,,
train,0,4900,142.7,0.154608,,
train,0,5000,145.5,0.139697,,
train,0,5100,148.4,0.148577,,
train,0,5200,151.2,0.151501,,
train,0,5300,154.0,0.152883,,
train,0,5400,156.9,0.145602,,
train,0,5500,159.7,0.146275,,
train,0,5600,162.5,0.146236,,
train,0,5700,165.4,0.151570,,
train,0,5800,168.2,0.143234,,
train,0,5900,171.0,0.142939,,
train,0,6000,173.9,0.145037,,
train,0,6100,176.7,nan,,
train,0,6200,179.5,0.146652,,
train,0,6300,182.4,0.149914,,
train,0,6400,185.2,0.139796,,
train,0,6500,188.0,0.146290,,
train,0,6600,190.9,0.141527,,
train,0,6700,193.7,0.138151,,
train,0,6800,196.5,0.135212,,
train,0,6900,199.4,0.138240,,
train,0,7000,202.2,0.130367,,
train,0,7100,205.0,0.148633,,
train,0,7200,207.9,0.132438,,
train,0,7300,210.7,0.138491,,
train,0,7400,213.5,0.122291,,
train,0,7500,216.4,0.133135,,
train,0,7600,219.2,0.131535,,
train,0,7700,222.0,0.139126,,
train,0,7800,224.9,0.130709,,
train,0,7900,227.7,0.129823,,
train,0,8000,230.5,0.127750,,
train,0,8100,233.4,0.127869,,
train,0,8200,236.2,0.132797,,
train,0,8300,239.0,0.133485,,
train,0,8400,241.9,0.124210,,
