phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,4,,13990.66,0.15203677494643747,0.05177043205852872,0.044379324801814383,0.0969279169284346,0.017927904591269396,0.2572624422061619,31.730349970260495,0.8385061455398359
val,4,,14180.77,0.15066796106730887,0.05137796852338048,0.04379409117539681,0.09632032715948131,0.017275424970513716,0.25309259555509744,31.996567362928836,0.8457801751390132
train,5,,13987.38,0.15117730727027184,0.05168747343540058,0.0440450931463679,0.09624241058960777,0.017804562448752153,0.25531685172376994,31.725772774684756,0.8407601906142781
val,5,,14177.44,0.1516568433946633,0.051929969362018776,0.04423097289476444,0.09632032700928962,0.017275424899440863,0.25309259585011684,31.99656745081243,0.8457801742807749
train,6,,14013.97,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,14211.79,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,18500.74,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,18761.81,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,18515.56,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,18776.63,nan,nan,nan,nan,nan,nan,nan,nan
train,6,,18515.57,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,18776.62,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,14744.0,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,15005.72,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,14761.11,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,15022.63,nan,nan,nan,nan,nan,nan,nan,nan
train,6,,14759.47,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,15021.22,nan,nan,nan,nan,nan,nan,nan,nan
