phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,3,,13987.98,1.308750207930975,0.2894422884432269,0.46615703410146636,0.14124262628699066,0.22569087563754106,0.2892713101171982,13.139384902446452,0.48516737161083856
val,3,,14177.84,1.3511976602268012,0.32018980332378694,0.45940997844724196,0.1839695582615548,0.23629553709380313,0.32919140500160665,10.857597975871647,0.4456336397846626
train,4,,13981.36,1.453702854275017,0.3334201801084435,0.5244566782479552,0.1632912539312722,0.2556231084064612,0.36249130917087397,10.313671246905091,0.40873136922898234
val,4,,14171.08,1.4898487878755498,0.34194828798394994,0.5330144650563652,0.15839367536351867,0.2650664600002585,0.3744539285924814,10.021348622310411,0.39722306297956567
train,5,,13981.42,1.4935841556168945,0.3400310315024906,0.5463438238555319,0.15736268565144512,0.2644373633811204,0.3770629712216608,10.02399739133038,0.40128015609063633
val,5,,14171.21,1.4868203197304855,0.3405849941562971,0.5313492919404872,0.1583936751060472,0.26506646025773,0.37445392779861103,10.021348611324962,0.3972230625289906
train,3,,18466.91,nan,nan,nan,nan,nan,nan,nan,nan
val,3,,18728.1,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,18510.16,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,18771.4,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,18510.46,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,18771.63,nan,nan,nan,nan,nan,nan,nan,nan
train,3,,18460.1,0.8233733501861353,0.2281837300995615,0.3714660399828614,0.17304650318578169,0.13170507052209962,0.2674601448576137,15.818385584401783,0.5669504218507726
val,3,,18710.7,0.8889564224391883,0.26622559554314273,0.3849166272900747,0.19785473751657792,0.15694788138960025,0.27660445298597364,12.428834530363426,0.5042887990451301
train,4,,18484.36,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,18745.8,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,18516.09,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,18777.49,nan,nan,nan,nan,nan,nan,nan,nan
train,3,,14686.23,nan,nan,nan,nan,nan,nan,nan,nan
val,3,,14947.45,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,14751.88,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,15013.08,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,14752.61,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,15013.84,nan,nan,nan,nan,nan,nan,nan,nan
