phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,4,,13991.88,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,14189.68,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,14025.16,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,14222.94,nan,nan,nan,nan,nan,nan,nan,nan
train,6,,14024.93,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,14222.71,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,18453.22,0.5543344953628749,0.07521070656829373,0.3122223044013838,0.08662839652993005,0.03336094440806565,0.1977052635111915,26.67862934402858,0.7862084056862454
val,4,,18703.5,0.5651988606156544,0.08156745700468283,0.31587794133855057,0.08956553775618095,0.03986407963471688,0.19620692721825,24.332214020590747,0.7510190058170514
train,5,,18450.8,0.5682847866706344,0.08237599080019475,0.31847665825126475,0.09002448261006259,0.0408759518136901,0.20097890284437897,24.154739504697194,0.7477984180943918
val,5,,18701.17,0.5637682767314766,0.08117460320534077,0.31484021192808576,0.08956553784555542,0.03986407961034203,0.1962069277544968,24.33221402683071,0.7510190068570453
train,6,,18501.59,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,18762.69,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,18491.39,0.531482320515438,0.07455806780138816,0.29165604284057556,0.08206625197126097,0.03162212996895755,0.17845561201501342,26.639469577569262,0.7996135365310018
val,4,,18743.56,0.5324794320529784,0.07897163305183794,0.28776437752639455,0.08298660313046355,0.03586753227848523,0.17139535308729212,25.105683388080827,0.779146664925204
train,5,,18536.96,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,18799.93,nan,nan,nan,nan,nan,nan,nan,nan
train,6,,18548.43,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,18811.42,nan,nan,nan,nan,nan,nan,nan,nan
train,4,,14744.34,nan,nan,nan,nan,nan,nan,nan,nan
val,4,,15005.59,nan,nan,nan,nan,nan,nan,nan,nan
train,5,,14781.84,nan,nan,nan,nan,nan,nan,nan,nan
val,5,,15043.16,nan,nan,nan,nan,nan,nan,nan,nan
train,6,,14781.43,nan,nan,nan,nan,nan,nan,nan,nan
val,6,,15042.69,nan,nan,nan,nan,nan,nan,nan,nan
