phase,epoch,step,elapsed_s,loss,mae_mirror,mse_mirror,mae,sam,psnr,ssim
train,0,100,7.2,0.679353,,,,,,
train,0,200,10.1,0.419431,,,,,,
train,0,300,12.9,0.339232,,,,,,
train,0,400,15.8,0.324449,,,,,,
train,0,500,18.7,0.307638,,,,,,
train,0,600,21.5,0.286482,,,,,,
train,0,700,24.4,0.281618,,,,,,
train,0,800,27.2,0.277509,,,,,,
train,0,900,30.1,0.260467,,,,,,
train,0,1000,32.9,0.286340,,,,,,
train,0,1100,35.8,0.251239,,,,,,
train,0,1200,38.6,0.282601,,,,,,
train,0,1300,41.5,0.253947,,,,,,
train,0,1400,44.3,0.237175,,,,,,
train,0,1500,47.2,0.227076,,,,,,
train,0,1600,50.1,0.234165,,,,,,
train,0,1700,52.9,0.209158,,,,,,
train,0,1800,55.8,0.236006,,,,,,
train,0,1900,58.6,0.210390,,,,,,
train,0,2000,61.5,0.211412,,,,,,
train,0,2100,64.3,0.213990,,,,,,
train,0,2200,67.2,0.219096,,,,,,
train,0,2300,70.0,0.197530,,,,,,
train,0,2400,72.9,0.206642,,,,,,
train,0,2500,75.7,0.190556,,,,,,
train,0,2600,78.6,0.199607,,,,,,
train,0,2700,81.4,0.207765,,,,,,
train,0,2800,84.3,0.192195,,,,,,
train,0,2900,87.1,0.185094,,,,,,
train,0,3000,90.0,0.177857,,,,,,
train,0,3100,92.8,0.191817,,,,,,
train,0,3200,95.7,0.176169,,,,,,
train,0,3300,98.5,0.189927,,,,,,
train,0,3400,101.4,0.184441,,,,,,
train,0,3500,104.2,0.169205,,,,,,
train,0,3600,107.1,0.164593,,,,,,
train,0,3700,109.9,0.170637,,,,,,
train,0,3800,112.7,0.175274,,,,,,
train,0,3900,115.6,0.157823,,,,,,
train,0,4000,118.4,0.168219,,,,,,
train,0,4100,121.3,0.168483,,,,,,
train,0,4200,124.2,0.162514,,,,,,
train,0,4300,127.0,0.157653,,,,,,
train,0,4400,129.9,0.162171,,,,,,
train,0,4500,132.8,0.158881,,,,,,
train,0,4600,135.6,0.160372,,,,,,
train,0,4700,138.5,0.173076,,,,,,
train,0,4800,141.3,0.142872,,,,,,
train,0,4900,144.2,0.160942,,,,,,
train,0,5000,147.0,0.150842,,,,,,
train,0,5100,149.9,0.154991,,,,,,
train,0,5200,152.7,0.149253,,,,,,
train,0,5300,155.6,0.149907,,,,,,
train,0,5400,158.4,0.135301,,,,,,
train,0,5500,161.3,0.155946,,,,,,
train,0,5600,164.1,0.152314,,,,,,
train,0,5700,167.0,0.152251,,,,,,
train,0,5800,169.8,0.146643,,,,,,
train,0,5900,172.7,0.147436,,,,,,
train,0,6000,175.5,0.142438,,,,,,
train,0,6100,178.4,0.147910,,,,,,
train,0,6200,181.2,0.152424,,,,,,
train,0,6300,184.1,0.153826,,,,,,
train,0,6400,186.9,0.145411,,,,,,
train,0,6500,189.8,0.147434,,,,,,
train,0,6600,192.7,0.143054,,,,,,
train,0,6700,195.5,0.136896,,,,,,
train,0,6800,198.4,0.139484,,,,,,
train,0,6900,201.2,0.128746,,,,,,
train,0,7000,204.1,0.140146,,,,,,
train,0,7100,206.9,0.149693,,,,,,
train,0,7200,209.8,0.132178,,,,,,
train,0,7300,212.7,0.143093,,,,,,
train,0,7400,215.5,0.125501,,,,,,
train,0,7500,218.4,0.140918,,,,,,
train,0,7600,221.2,0.129422,,,,,,
train,0,7700,224.1,0.138254,,,,,,
train,0,7800,226.9,0.135857,,,,,,
train,0,7900,229.8,0.126917,,,,,,
train,0,8000,232.6,0.126885,,,,,,
train,0,8100,235.5,0.139220,,,,,,
train,0,8200,238.3,0.125771,,,,,,
train,0,8300,241.2,0.132446,,,,,,
train,0,8400,244.0,0.128628,,,,,,
train,0,8500,246.9,0.138210,,,,,,
train,0,8600,249.7,0.117734,,,,,,
train,0,8700,252.6,0.124861,,,,,,
train,0,8800,255.5,0.137376,,,,,,
train,0,8900,258.3,0.118497,,,,,,
train,0,9000,261.2,0.125574,,,,,,
train,0,9100,264.0,0.133205,,,,,,
train,0,9200,266.9,0.133583,,,,,,
train,0,9300,269.7,0.130977,,,,,,
train,0,9400,272.6,0.117736,,,,,,
train,0,9500,275.4,0.127887,,,,,,
train,0,9600,278.3,0.128648,,,,,,
train,0,9700,281.1,0.128950,,,,,,
train,0,9800,284.1,0.132116,,,,,,
train,0,9900,287.3,0.126124,,,,,,
train,0,10000,290.2,0.116917,,,,,,
train,0,10100,293.0,0.121682,,,,,,
train,0,10200,295.9,0.127397,,,,,,
train,0,10300,298.7,0.132955,,,,,,
train,0,10400,301.6,0.119884,,,,,,
train,0,10500,304.4,0.121204,,,,,,
train,0,10600,307.2,0.134069,,,,,,
train,0,10700,310.1,0.126390,,,,,,
train,0,10800,312.9,0.118558,,,,,,
train,0,10900,315.8,0.130790,,,,,,
train,0,11000,318.6,0.113056,,,,,,
train,0,11100,321.5,0.121140,,,,,,
train,0,11200,324.3,0.123094,,,,,,
train,0,11300,327.2,0.119945,,,,,,
train,0,11400,330.0,0.114246,,,,,,
train,0,11500,332.9,0.127398,,,,,,
train,0,11600,335.7,0.119452,,,,,,
train,0,11700,338.6,0.128650,,,,,,
train,0,11800,341.4,0.119587,,,,,,
train,0,11900,344.3,0.125790,,,,,,
train,0,12000,347.1,0.114077,,,,,,
train,0,12100,350.0,0.108910,,,,,,
train,0,12200,352.9,0.118439,,,,,,
train,0,12300,355.7,0.127468,,,,,,
train,0,12400,358.6,0.113883,,,,,,
train,0,12500,361.4,0.123828,,,,,,
train,0,12600,364.3,0.114004,,,,,,
train,0,12700,367.1,0.117053,,,,,,
train,0,12800,370.0,0.116384,,,,,,
train,0,12900,372.8,0.117124,,,,,,
train,0,13000,375.7,0.114034,,,,,,
train,0,13100,378.5,0.120292,,,,,,
train,0,13200,381.4,0.113853,,,,,,
train,0,13300,384.2,0.119487,,,,,,
train,0,13400,387.1,0.121694,,,,,,
train,0,13500,389.9,0.118701,,,,,,
train,0,13600,392.8,0.120058,,,,,,
train,0,13700,395.6,0.117636,,,,,,
train,0,13800,398.5,0.111872,,,,,,
train,0,13900,401.3,0.127894,,,,,,
train,0,14000,404.2,0.115636,,,,,,
train,0,14100,407.1,0.116627,,,,,,
train,0,14200,409.9,0.117687,,,,,,
train,0,14300,412.8,0.107586,,,,,,
train,0,14400,415.6,0.109186,,,,,,
train,0,14500,418.5,0.112941,,,,,,
train,0,14600,421.3,0.115736,,,,,,
train,0,14700,424.2,0.116776,,,,,,
train,0,14800,427.0,0.114038,,,,,,
train,0,14900,429.9,0.117578,,,,,,
train,0,15000,432.7,0.112813,,,,,,
train,0,15100,435.6,0.119067,,,,,,
train,0,15200,438.4,0.114587,,,,,,
train,0,15300,441.3,0.122078,,,,,,
train,0,15400,444.2,0.112506,,,,,,
train,0,15500,447.0,0.121040,,,,,,
train,0,15600,449.9,0.119660,,,,,,
train,0,15700,452.7,0.115869,,,,,,
train,0,15800,455.6,0.118411,,,,,,
train,0,15900,458.4,0.107359,,,,,,
train,0,16000,461.3,0.118007,,,,,,
train,0,16100,464.1,0.112074,,,,,,
train,0,16200,467.0,0.113414,,,,,,
train,0,16300,469.8,0.122691,,,,,,
train,0,16400,472.7,0.103129,,,,,,
train,0,16500,475.5,0.125943,,,,,,
train,0,16600,478.4,0.104435,,,,,,
train,0,16700,481.3,0.114539,,,,,,
train,0,16800,484.1,0.108864,,,,,,
train,0,16900,487.0,0.112195,,,,,,
train,0,17000,489.8,0.110966,,,,,,
train,0,17100,492.6,0.110779,,,,,,
train,0,17200,495.5,0.102878,,,,,,
train,0,17300,498.3,0.111278,,,,,,
train,0,17400,501.2,0.104194,,,,,,
train,0,17500,504.0,0.113874,,,,,,
train,0,17600,506.9,0.110423,,,,,,
train,0,17700,509.7,0.110284,,,,,,
train,0,17800,512.6,0.111794,,,,,,
train,0,17900,515.4,0.113218,,,,,,
train,0,18000,518.3,0.112268,,,,,,
train,0,18100,521.1,0.116427,,,,,,
train,0,18200,524.0,0.109480,,,,,,
train,0,18300,526.8,0.109406,,,,,,
train,0,18400,529.9,0.104352,,,,,,
train,0,18500,533.1,0.115435,,,,,,
train,0,18600,535.9,0.114618,,,,,,
train,0,18700,538.8,0.116830,,,,,,
train,0,18800,541.6,0.114754,,,,,,
train,0,18900,544.5,0.112159,,,,,,
train,0,19000,547.3,0.113533,,,,,,
train,0,19100,550.2,0.112239,,,,,,
train,0,19200,553.0,0.111297,,,,,,
train,0,19300,555.9,0.111688,,,,,,
train,0,19400,558.8,0.109172,,,,,,
train,0,19500,561.6,0.109632,,,,,,
train,0,19600,564.5,0.105960,,,,,,
train,0,19700,567.3,0.103896,,,,,,
train,0,19800,570.2,0.107210,,,,,,
train,0,19900,573.0,0.106718,,,,,,
train,0,20000,575.9,0.113823,,,,,,
train,0,20100,578.7,0.107692,,,,,,
train,0,20200,581.6,nan,,,,,,
train,0,20300,584.4,0.108252,,,,,,
train,0,20400,587.3,0.102889,,,,,,
train,0,20500,590.1,0.110261,,,,,,
train,0,20600,593.0,0.107305,,,,,,
train,0,20700,595.9,0.116174,,,,,,
train,0,20800,598.7,0.102996,,,,,,
train,0,20900,601.6,0.115274,,,,,,
train,0,21000,604.4,0.103500,,,,,,
train,0,21100,607.3,0.107773,,,,,,
train,0,21200,610.1,0.111118,,,,,,
train,0,21300,613.0,0.102734,,,,,,
train,0,21400,615.8,0.107452,,,,,,
train,0,21500,618.7,0.108534,,,,,,
train,0,21600,621.5,0.111212,,,,,,
train,0,21700,624.4,0.097169,,,,,,
train,0,21800,627.2,0.106710,,,,,,
train,0,21900,630.1,0.114521,,,,,,
train,0,22000,632.9,0.107304,,,,,,
train,0,22100,635.8,0.103264,,,,,,
train,0,22200,638.7,0.110521,,,,,,
train,0,22300,641.5,0.107152,,,,,,
train,0,22400,644.4,0.110733,,,,,,
train,0,22500,647.2,0.100066,,,,,,
train,0,22600,650.1,0.104672,,,,,,
train,0,22700,652.9,0.114296,,,,,,
train,0,22800,655.8,0.105250,,,,,,
train,0,22900,658.6,0.112599,,,,,,
train,0,23000,661.5,0.109632,,,,,,
train,0,23100,664.3,0.109614,,,,,,
train,0,23200,667.2,0.110552,,,,,,
train,0,23300,670.0,0.105243,,,,,,
train,0,23400,672.9,0.104882,,,,,,
train,0,23500,675.7,0.099427,,,,,,
train,0,23600,678.6,0.098472,,,,,,
train,0,23700,681.5,0.096776,,,,,,
train,0,23800,684.3,0.102525,,,,,,
train,0,23900,687.2,0.108568,,,,,,
train,0,24000,690.0,0.110585,,,,,,
train,0,24100,692.8,0.109088,,,,,,
train,0,24200,695.7,0.110018,,,,,,
train,0,24300,698.5,0.101737,,,,,,
train,0,24400,701.4,0.109100,,,,,,
val,0,,849.7,0.095573,0.005224,0.000052,0.013356,0.057181,33.7603,0.936665
train,1,24544,853.7,0.097721,,,,,,
train,1,24644,856.5,0.106434,,,,,,
train,1,24744,859.7,0.101195,,,,,,
train,1,24844,862.6,0.105231,,,,,,
train,1,24944,865.4,0.102913,,,,,,
train,1,25044,868.3,0.105685,,,,,,
train,1,25144,871.1,0.097245,,,,,,
train,1,25244,874.0,0.106125,,,,,,
train,1,25344,876.8,0.109683,,,,,,
train,1,25444,879.7,0.111030,,,,,,
train,1,25544,882.5,0.108806,,,,,,
train,1,25644,885.4,0.102163,,,,,,
train,1,25744,888.2,0.107733,,,,,,
train,1,25844,891.1,0.102072,,,,,,
train,1,25944,893.9,0.100141,,,,,,
train,1,26044,896.8,0.096353,,,,,,
train,1,26144,899.6,0.098926,,,,,,
train,1,26244,902.5,0.113806,,,,,,
train,1,26344,905.3,0.105344,,,,,,
train,1,26444,908.2,0.105587,,,,,,
train,1,26544,911.0,0.103348,,,,,,
train,1,26644,913.9,0.098424,,,,,,
train,1,26744,916.7,0.103095,,,,,,
train,1,26844,919.6,0.102197,,,,,,
train,1,26944,922.4,0.104627,,,,,,
train,1,27044,925.3,0.105879,,,,,,
train,1,27144,928.1,0.099788,,,,,,
train,1,27244,931.0,0.108803,,,,,,
train,1,27344,933.8,0.095399,,,,,,
train,1,27444,936.6,0.097455,,,,,,
train,1,27544,939.5,0.105800,,,,,,
train,1,27644,942.3,0.102686,,,,,,
train,1,27744,945.2,0.097501,,,,,,
train,1,27844,948.0,0.100999,,,,,,
train,1,27944,950.9,0.098543,,,,,,
train,1,28044,953.7,0.102570,,,,,,
train,1,28144,956.6,0.100165,,,,,,
train,1,28244,959.4,0.100073,,,,,,
train,1,28344,962.3,0.102559,,,,,,
train,1,28444,965.1,0.105795,,,,,,
train,1,28544,968.0,0.101138,,,,,,
train,1,28644,970.8,0.100582,,,,,,
