phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,7,,41764.61,nan,0.041499586621717224,nan,0.13131374451186825,0.009627012751960207,0.061997141485834906,37.307008305156444,0.9438704821409304
val,7,,42305.35,181.16307913028962,0.04155465653785736,181.12139253809082,0.13185847012732912,0.009629120403014764,0.061670505903461896,37.29906827487919,0.9440741689122647
train,4,,7832.18,0.07083271260180635,0.04226126845688677,0.028439606292374325,0.13183777990697046,0.010107854007807518,0.063078489112306,36.98077425153442,0.9445243442530267
val,4,,8027.51,0.07079631332013896,0.0421696108457339,0.028495145806332927,0.1315566316209188,0.010387052488788778,0.0664978583448721,36.73483723948761,0.9438699810402101
train,5,,7826.97,0.07041496415897566,0.04237929931610112,0.02790157272837295,0.1340921363655932,0.010256409801701005,0.06313265785130523,36.70752011311065,0.9451949855495339
val,5,,8021.72,0.06939742668991286,0.041982437928785095,0.027278242972476344,0.1367457392731057,0.009409394175260492,0.05809900054775033,37.50653309529839,0.9486608486227821
train,6,,7826.26,0.06928300819933363,0.04224604004135061,0.02689985063166545,0.13711752487492312,0.009864282433839407,0.06048915024813192,36.93960451698248,0.9477690208051869
val,6,,8020.59,0.06884943608585682,0.04242579251736288,0.026284726882086246,0.13891676386667248,0.009543784437342172,0.058972548883935355,37.194029325237544,0.9492372616146407
train,7,,7826.03,0.06798488361523063,0.04217571463053279,0.025670761375961425,0.13840759906279407,0.00926891987830897,0.057811625001603584,37.521721727528266,0.9511760487385118
val,7,,8020.58,0.0668223016198748,0.04180554353799917,0.024876558691233935,0.14019936550079085,0.0085991308678796,0.05437703692133186,37.90809975422674,0.9535615194566647
train,8,,7826.1,0.06666672088320705,0.042236691582509,0.024291396966154732,0.13863236406167162,0.008728461791708381,0.05453276654755806,37.968975126240395,0.9546419739948653
val,8,,8020.64,0.06547506573208323,0.041934749039136764,0.023401141132241565,0.13917566802105452,0.008231939558936857,0.05166739356767994,38.364813611800244,0.9570260071372081
train,9,,7825.8,0.06548222479271462,0.04231237097794246,0.023030815499457798,0.13903833722930367,0.00843469213758283,0.05223908081405777,38.19522110625759,0.9579382598452142
val,9,,8020.26,0.06524071718215035,0.04261162236580413,0.022490121113884303,0.1389735501374485,0.008339348114099058,0.049849272450093365,38.191678293382815,0.9591253997309783
train,10,,7824.16,0.064775508624963,0.04274789109508512,0.021888111599314287,0.13950595205472519,0.008306695660684612,0.05054607731283387,38.198282762082954,0.9598666092043253
val,10,,8018.62,0.06462571495303682,0.042941301961402514,0.021544216314104973,0.14019664931454348,0.008093052539432164,0.0492878631674861,38.39067858087383,0.9612957336061588
train,11,,7826.19,0.06448417060794719,0.04336582906874791,0.0209790353357341,0.1393061482990017,0.008363421910851846,0.05027574688144156,38.058337351732696,0.9608086696762244
val,11,,8020.64,0.06462963594468328,0.04399109062695355,0.020498389414616864,0.1401560982911328,0.008775817415526199,0.04871892780138695,37.45394422005011,0.961653774034937
train,12,,7826.06,0.0640114979438564,0.04376281200750149,0.020109620799654906,0.13906513911053855,0.008424110245162821,0.04976258259337067,37.94022044214288,0.9620157008709379
val,12,,8020.64,0.06306772374781744,0.043373456638906585,0.01955394374819212,0.1403233664190015,0.007803852291375816,0.047269018683495666,38.482804271790705,0.9635139448573864
train,13,,7826.49,0.06394916968536665,0.04446324486402507,0.019346279037397184,0.1396457551663391,0.008767570365152024,0.04931253966313654,37.46873768547575,0.962217441470879
val,13,,8020.96,0.06383628146941626,0.04461066204578687,0.019084966560816104,0.14065303009988905,0.0089882793320757,0.049366534743285805,37.02302766117427,0.9619827050056954
train,14,,7826.38,0.06432365663002787,0.045459706271769075,0.01872365168087967,0.1402987017533895,0.009318276972217002,0.0493439215985727,36.752442509759675,0.9622034421312555
val,14,,8020.78,0.06346665542438917,0.04512366925278356,0.018201673095811898,0.14131318901376458,0.00885031949826272,0.04753365562801207,37.169451986765004,0.9637944758031053
train,15,,7826.34,0.06387469897863388,0.04561988106238606,0.018113986838035608,0.14083109113745715,0.009449968754457772,0.048629158917583626,36.5291207590733,0.9625257118292108
