phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,7,,41764.8,nan,0.05327515919839951,nan,0.132127774436572,0.014542693942069904,0.059989066334950186,33.414529931659715,0.9439194820320533
val,7,,42305.36,185.35932118408263,0.053175698322298175,185.3060130331659,0.1326190550299403,0.01440590262021627,0.059840702292874484,33.52960741745256,0.9439217092733162
train,4,,7838.8,0.2768871058770346,0.05138655706149723,0.22536976488482166,0.1307838121881605,0.0124733244832513,0.056273302058468457,34.312113547415315,0.9470086032857997
val,4,,8034.18,0.2717719054653254,0.0533870042575068,0.2182528027162235,0.1320980016260098,0.014395586055763741,0.0606338433130616,32.726375689708256,0.9448091347706649
train,5,,7833.35,0.25898036114483475,0.051036856793775474,0.20781330649727717,0.130197753125554,0.012036181788998316,0.054811813852595044,34.537270213546954,0.9485229085030721
val,5,,8028.61,0.2504803509424853,0.050828465764368044,0.1995225526077269,0.1293322164228491,0.011473208016718764,0.053483391618213603,34.787361948787265,0.9491831263507917
train,6,,7833.23,0.24397480347352837,0.05104993394683588,0.19279749105108107,0.12737845812845897,0.011884436249157974,0.054104150152866286,34.50913649989936,0.948268288516152
val,6,,8028.47,0.23916124157615481,0.051162180580639545,0.187871689462016,0.12737156108976455,0.011915496728824165,0.05620934820677038,34.53297974842678,0.9469185795236577
train,7,,7832.66,0.2314886297680522,0.051413898536453666,0.17994762330614344,0.12710796808078775,0.012143535579746853,0.05381167652928139,34.24510378861171,0.9482606221223453
val,7,,8028.02,0.2264338038540464,0.051389419372124094,0.17491653857640047,0.12784597679890955,0.012034221308755632,0.054283944768734355,34.34494735250183,0.9480555327187759
train,8,,7832.55,0.2216873279815241,0.05200584327456847,0.16955433080202104,0.12715376111152285,0.012493912210665776,0.05494304455747377,34.02662837911144,0.9462839682625239
val,8,,8027.44,0.21567996752095314,0.051470381996884945,0.16408240239740773,0.1271830909640004,0.012152324000381257,0.054895683300311277,34.468998165706516,0.9458107722731272
train,9,,7832.64,0.21113850412403112,0.05151567830773792,0.15949573704920295,0.12708881319193496,0.01193702990409493,0.053740849588928025,34.4808560180775,0.9486127261127675
val,9,,8027.81,0.20752188426540522,0.052131869644780136,0.15526394351796213,0.12607094433950272,0.012225991142256035,0.0547686785687529,34.27266663274382,0.947652781129654
train,10,,7830.95,0.20160948132225204,0.05190933731557725,0.14957385191871117,0.12629200682880784,0.012188399860086416,0.05407167305307642,34.337331137547565,0.9480484465561463
val,10,,8026.15,0.19451183955038875,0.05151229795404117,0.1428728178649514,0.1267237929151312,0.011625372103827936,0.05150295150093689,34.73789869994717,0.9493255282314561
train,11,,7831.91,0.19203603825867088,0.05221527229841708,0.13969524627768753,0.12551961043090332,0.012354286613009474,0.05331208367211755,34.17706972088341,0.9470256861035894
val,11,,8026.97,0.18681432520633107,0.052716306054463376,0.13397183012658978,0.1261892395663911,0.012778406906054527,0.05241745653644627,33.7954970767851,0.9459263413288562
train,12,,7831.53,0.1842089524649242,0.053191784305125694,0.1308920725579608,0.12509554852930688,0.013293416638865933,0.05498472800392171,33.5329265322559,0.9436285932777856
val,12,,8026.47,0.18501806921849087,0.053609739477847466,0.13128347452841202,0.12485501879673622,0.013947550541771657,0.05692144194778664,32.91458780294783,0.942369094901424
train,13,,7831.29,0.1769626642668667,0.05403626837532188,0.1228020604237034,0.12433529596104849,0.013965780337216212,0.056773822584452585,33.07078606519791,0.9413884085106371
val,13,,8026.24,0.1713879402269953,0.053384957883393314,0.11787899513772736,0.123987548274569,0.013261887195574439,0.05572229435411493,33.44883990445803,0.9426019800225331
train,14,,7831.0,0.1686160365747684,0.053593166311782806,0.11490030438986877,0.12256588828461372,0.013455441969741924,0.056508308371373446,33.49823174769357,0.9423800385601825
val,14,,8025.93,0.16734110998859597,0.05451150734223552,0.11270624443019298,0.12335797746236503,0.014443968088620546,0.0573424302963937,33.14991229735988,0.9414461526101295
train,15,,7831.07,0.16426854746799363,0.05393293248053238,0.11021493957669262,0.12067542927367311,0.013888926517867595,0.05707158662697448,33.243224156468216,0.9417340253236719
val,15,,8025.94,0.1597349597666211,0.05434273916210776,0.10527225370168998,0.1199668090525006,0.013982355490689016,0.05468931534819786,33.11821858292369,0.9412841545795129
train,16,,7830.89,0.16114341267209814,0.054294915249853554,0.10672969350703483,0.11880397963656532,0.014219944581827314,0.057840020424809124,32.99364033389099,0.93810422352174
val,16,,8025.79,0.16011150727543402,0.05492693348492424,0.10506699347947665,0.11758077946439642,0.014450002062043683,0.05783665910175424,32.78512030472665,0.9371344501126877
train,17,,7830.5,0.15830335107946036,0.05506587991746213,0.10312012907855726,0.11734207082677449,0.014772369742153957,0.058079398184329716,32.68390359065545,0.9364890280611334
val,17,,8025.37,0.15285677304611045,0.054403059084567995,0.09833687744871918,0.11683638813442766,0.014356015915600248,0.056736986134309504,33.00323828748786,0.939583752229633
train,18,,7830.58,0.15493605098913915,0.05551848578564053,0.09930056395864882,0.11700133226241766,0.015132506275974953,0.05860979773281947,32.43908281134838,0.9353560107563137
val,18,,8025.52,0.15022347345747034,0.05518346454830219,0.09492206257136908,0.11794659450361239,0.014894484424570824,0.05761018895462037,32.584282940220845,0.9357036483696524
train,19,,7829.74,0.1520852086849344,0.055701744375798654,0.0962653297823652,0.11813445129248337,0.01537671465814712,0.05940221019570464,32.30746994595698,0.9330618035699657
val,19,,8024.67,0.14760504551545833,0.055089288268861066,0.09239613247484947,0.1196245955151355,0.014386364072805125,0.05711361384553465,32.94857772978226,0.9383152853436911
train,20,,7831.37,0.14724394662594567,0.05506483721011664,0.09205912193405374,0.11998736674325355,0.014711693711015229,0.05818009336747539,32.78833354514874,0.9356978784250526
val,20,,8026.31,0.14523320183281072,0.05416575552926605,0.09094602466251425,0.12142153693566238,0.013766261851162793,0.05808519729645599,33.43924891102988,0.9364155861069358
train,21,,7831.04,0.14339754337015143,0.05464238973411929,0.08863450017109284,0.12065354937994796,0.014413468570198896,0.05788144489638085,32.960699848910906,0.9369979901805603
val,21,,8025.89,0.14671453340857715,0.05489615787778721,0.09169762709065474,0.12074821238558339,0.014598348534312173,0.06072888198028892,33.174645814926066,0.9352830373590253
train,22,,7831.22,0.13950441493729987,0.053777154714437045,0.08560715856207797,0.12010168380751352,0.013443234817612377,0.05824675279728264,33.65549736450257,0.938948991515798
val,22,,8026.04,0.13864861764169228,0.05493016016488428,0.08359922754163195,0.1192297671188671,0.013762933632198722,0.057497892369957504,33.606032476166874,0.937615295940526
train,23,,7830.92,0.13678123035969725,0.05416769794371886,0.08249236816897498,0.12116414806048191,0.013669952970504292,0.05749163138340093,33.460613169155394,0.9392443804034044
val,23,,8025.65,0.12985073098641997,0.0535590324644449,0.07616701375983582,0.1246849975071097,0.013163216349425473,0.055007169818602125,33.67431122920544,0.9428843663548615
train,24,,7830.67,0.13218144408042673,0.05375065696408123,0.07830215968540633,0.12862742488354592,0.013194983304554913,0.05602781482340032,33.852655197667424,0.942081131914656
val,24,,8025.36,0.1325843698905168,0.052768033637678395,0.07968285052605244,0.1334859411585849,0.012138403973307208,0.05734736896016752,34.718470676198315,0.9403483456787292
